Date,Close,High,Low,Open,Volume
2026-03-30,455.75,465.75,455.0,462.75,165878
2026-03-31,457.75,462.0,451.25,455.5,288867
2026-04-01,454.25,460.0,448.5,457.5,203129
2026-04-02,452.25,460.5,451.25,454.0,0
2026-04-06,454.0,454.5,448.25,453.0,126749
2026-04-07,449.0,455.0,448.25,454.0,172653
2026-04-08,447.25,448.25,442.25,447.0,295027
2026-04-09,444.0,450.25,442.25,447.25,247651
2026-04-10,441.0,446.25,438.0,444.75,237015
2026-04-13,440.25,446.0,440.0,446.0,261260
2026-04-14,443.0,446.0,440.25,440.5,229083
2026-04-15,451.25,452.0,442.75,443.0,235844
2026-04-16,448.5,452.75,447.5,451.0,171542
2026-04-17,448.75,451.0,443.25,448.25,158101
2026-04-20,452.0,454.0,446.75,449.0,203127
2026-04-21,453.75,455.25,450.75,452.0,175218
2026-04-22,454.25,457.0,452.75,453.5,169698
2026-04-23,455.5,456.75,452.5,453.5,120100
2026-04-24,455.0,457.75,453.5,455.5,127510
2026-04-27,460.75,461.25,454.25,454.25,191489
2026-04-28,465.25,465.5,460.0,460.25,172176
2026-04-29,466.5,468.25,462.75,464.25,105694
2026-04-30,464.75,469.0,460.75,466.25,9716
2026-05-01,468.25,471.25,461.75,462.75,3433
2026-05-04,473.75,474.0,466.5,468.25,2298
2026-05-05,465.5,475.0,464.25,473.75,1417
2026-05-06,452.75,463.0,452.25,463.0,1311
2026-05-07,452.75,453.25,446.75,453.0,730
2026-05-08,456.25,457.75,452.5,454.0,329
2026-05-11,460.75,462.0,459.5,461.0,126
2026-05-12,467.25,467.75,463.0,463.0,413
2026-05-13,466.5,470.75,466.5,467.25,55
2026-05-14,451.5,456.0,451.5,456.0,277366
2026-05-15,455.75,473.75,455.0,468.25,301697
2026-05-18,477.0,478.0,464.0,469.0,372244
2026-05-19,475.25,481.75,472.0,476.75,218612
2026-05-20,465.75,477.0,462.75,475.75,248291
2026-05-21,462.25,469.25,460.0,465.0,210499
2026-05-22,463.25,467.75,461.0,462.5,162835
2026-05-26,457.5,463.0,456.5,458.25,229760
2026-05-27,452.5,459.75,451.75,458.5,177055
2026-05-28,455.75,458.25,451.5,452.25,240560
2026-05-29,446.75,459.0,445.0,457.75,248523
2026-06-01,444.0,449.25,440.0,446.0,241486
2026-06-02,440.5,445.75,439.0,444.75,211400
2026-06-03,431.5,442.0,430.25,440.75,246223
2026-06-04,424.5,431.5,421.5,431.0,273610
2026-06-05,417.5,424.5,416.0,424.0,295853
2026-06-08,418.75,421.0,412.5,420.5,280265
2026-06-09,419.5,425.5,417.5,419.0,289426
2026-06-10,419.0,425.75,418.25,419.75,252579
