Date,Close,High,Low,Open,Volume,Daily_Return,MA_20,MA_50,MA_100,Volatility_20
2026-04-23,455.5,456.75,452.5,453.5,120100,0.27517886626307053,451.575,445.77,440.2575,0.7665246570956202
2026-04-24,455.0,457.75,453.5,455.5,127510,-0.1097694840834218,450.975,446.32,440.4525,0.7663537030528924
2026-04-27,460.75,461.25,454.25,454.25,191489,1.2637362637362592,450.9125,446.91,440.7325,0.7924375604494768
2026-04-28,465.25,465.5,460.0,460.25,172176,0.9766684753119925,451.3875,447.58,441.005,0.7550839289046675
2026-04-29,466.5,468.25,462.75,464.25,105694,0.2686727565824887,451.825,448.385,441.355,0.7520877851439213
2026-04-30,464.75,469.0,460.75,466.25,9716,-0.37513397642015,452.35,449.14,441.625,0.7334034190988011
2026-05-01,468.25,471.25,461.75,462.75,3433,0.7530930607853703,453.15,449.99,441.94,0.7342335642827384
2026-05-04,473.75,474.0,466.5,468.25,2298,1.174586225306995,454.1375,450.915,442.315,0.7665261674912569
2026-05-05,465.5,475.0,464.25,473.75,1417,-1.7414248021108136,454.9625,451.675,442.5625,0.8347477572914733
2026-05-06,452.75,463.0,452.25,463.0,1311,-2.7389903329752996,455.2375,452.175,442.7425,1.055751370907388
2026-05-07,452.75,453.25,446.75,453.0,730,0.0,455.675,452.62,442.9175,1.0393972994845952
2026-05-08,456.25,457.75,452.5,454.0,329,0.7730535615682044,456.4375,453.08,443.165,1.0327505592230082
2026-05-11,460.75,462.0,459.5,461.0,126,0.9863013698630185,457.4625,453.52,443.375,1.0447024861158458
2026-05-12,467.25,467.75,463.0,463.0,413,1.4107433532284386,458.675,454.2,443.6825,1.074571948296049
2026-05-13,466.5,470.75,466.5,467.25,55,-0.16051364365970988,459.4375,454.845,443.9425,1.0103207509536785
2026-05-14,451.5,456.0,451.5,456.0,277366,-3.2154340836012874,459.5875,455.24,444.0125,1.2547720106273292
2026-05-15,455.75,473.75,455.0,468.25,301697,0.9413067552602516,459.9375,455.525,444.1325,1.2708450302235792
2026-05-18,477.0,478.0,464.0,469.0,372244,4.662643993417448,461.1875,456.125,444.4325,1.6295801908393788
2026-05-19,475.25,481.75,472.0,476.75,218612,-0.36687631027253476,462.2625,456.88,444.71,1.6357327045941064
2026-05-20,465.75,477.0,462.75,475.75,248291,-1.9989479221462436,462.8375,457.47,444.8575,1.7110936806416464
2026-05-21,462.25,469.25,460.0,465.0,210499,-0.7514761137949577,463.175,457.83,444.98,1.7221556039914376
2026-05-22,463.25,467.75,461.0,462.5,162835,0.21633315305571443,463.5875,458.13,445.19,1.7217321622066664
2026-05-26,457.5,463.0,456.5,458.25,229760,-1.2412304371289817,463.425,458.23,445.36,1.7240309187954075
2026-05-27,452.5,459.75,451.75,458.5,177055,-1.0928961748633892,462.7875,458.2,445.4825,1.723085705656637
2026-05-28,455.75,458.25,451.5,452.25,240560,0.7182320441988965,462.25,458.235,445.665,1.7314011392305346
2026-05-29,446.75,459.0,445.0,457.75,248523,-1.974766867800326,461.35,457.905,445.6875,1.780906036335976
2026-06-01,444.0,449.25,440.0,446.0,241486,-0.615556799104644,460.1375,457.39,445.6875,1.7693286718230872
2026-06-02,440.5,445.75,439.0,444.75,211400,-0.7882882882882858,458.475,456.89,445.625,1.7403068746175463
2026-06-03,431.5,442.0,430.25,440.75,246223,-2.0431328036322416,456.775,456.33,445.48,1.7542646807350448
2026-06-04,424.5,431.5,421.5,431.0,273610,-1.6222479721900385,455.3625,455.57,445.2675,1.6913346287185866
2026-06-05,417.5,424.5,416.0,424.0,295853,-1.648998822143699,453.6,454.575,445.2275,1.7155426283638946
2026-06-08,418.75,421.0,412.5,420.5,280265,0.29940119760478723,451.725,453.61,445.2175,1.7018480689252837
2026-06-09,419.5,425.5,417.5,419.0,289426,0.1791044776119355,449.6625,452.76,445.1925,1.6762640879574655
2026-06-10,419.0,425.75,418.25,419.75,252579,-0.11918951132300348,447.25,452.025,445.18,1.6206436702341034
2026-06-11,411.75,420.0,410.5,419.75,315342,-1.7303102625298328,444.5125,451.105,445.05,1.6396518613026148
2026-06-12,412.75,417.0,408.5,411.75,206777,0.24286581663630624,442.575,450.275,444.94,1.5290030372233974
2026-06-15,415.5,416.75,406.25,411.75,200373,0.6662628709872775,440.5625,449.54,444.8775,1.517147542365522
2026-06-16,413.75,421.0,412.5,415.0,275994,-0.4211793020457266,437.4,448.735,444.775,0.9261641968722644
2026-06-17,421.0,421.75,412.25,414.25,197785,1.7522658610271913,434.6875,448.175,444.68,1.0759477332220102
2026-06-18,417.5,422.0,415.0,419.75,179735,-0.8313539192399078,432.275,447.58,444.5725,1.0265129598137326
2026-06-22,411.5,418.0,411.25,417.5,211745,-1.4371257485029987,429.7375,446.93,444.4225,1.0452154771615934
2026-06-23,409.75,414.5,407.0,411.5,200271,-0.42527339003645137,427.0625,446.305,444.22,1.0293888020868092
2026-06-24,407.0,412.5,405.75,410.0,166823,-0.6711409395973145,424.5375,445.64,443.9825,1.0187305126637534
